cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_boundary_rule,lower_boundary_rule,upper_boundary_ratio_from_rear,lower_boundary_ratio_from_rear,boundary_mean_ratio_from_rear,boundary_side_ratio_difference,upper_boundary_x_m,upper_boundary_y_m,lower_boundary_x_m,lower_boundary_y_m,connector_length_m,rear_halfplane_sign,rear_side_core_point_count,projection_grid_cell_size_m,projection_grid_cell_count,valley_connected_rear_torso_projected_area_m2,existing_pca_45_48_core_area_m2,source_top_ply,area_definition,method_version,status
102,378.0,171.0,rule2_slow_to_fast_width_increase,rule1_first_u_shaped_valley,0.5982212938274024,0.5151350030180409,0.5566781484227217,0.08308629080936147,0.440965025624508,0.32839331954946327,0.22303914349601622,-0.05045210784572379,0.4370532552901571,-0.40850531455376426,17241,0.01,5158,0.5158,0.6074,point_clouds/cow_102_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
103,382.0,172.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5311435526324477,0.5736350368430436,0.5523892947377457,-0.0424914842105959,0.17095371780619995,-0.21720326131278797,0.20499479627398182,-0.6228828790265973,0.40710532697530766,-0.41588518782575523,19857,0.01,5258,0.5258,0.6555,point_clouds/cow_103_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
104,408.0,175.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5579194818698623,0.6199105354109582,0.5889150086404102,-0.06199105354109591,0.8216922720515863,0.23994900601663519,0.9657225448040148,-0.11212028626803333,0.38039125389389056,-0.3489811413773926,14936,0.01,4761,0.4761,0.5606,point_clouds/cow_104_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
105,323.0,164.0,rule3_post_peak_valley,rule2_slow_to_fast_width_increase,0.4733675330443795,0.5667953356189281,0.5200814343316538,-0.09342780257454864,0.4510919272593513,0.04065743476766709,0.553141574269521,-0.3571773279016428,0.41071477797012174,-0.32013309058180406,12076,0.01,3773,0.3773,0.4955,point_clouds/cow_105_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
107,409.0,177.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5860342046768793,0.5274307842091913,0.5567324944430353,0.05860342046768796,0.4972868576029458,-0.005246927712701799,0.30416263778686103,-0.35164381357882324,0.3965952178447418,-0.3648390156183307,15085,0.01,4661,0.4661,0.5549,point_clouds/cow_107_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
110,417.0,176.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5290333756749936,0.5715992794649357,0.5503163275699647,-0.04256590378994207,0.3685087658831153,0.14684712921602583,0.4786975016903135,-0.16848164569422197,0.33402663634085566,-0.2934586592563215,12185,0.01,3940,0.394,0.4623,point_clouds/cow_110_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
111,243.0,145.0,rule2_slow_to_fast_width_increase,rule2_widening_plateau_supplement,0.5398585647696338,0.5563848473646227,0.5481217060671282,-0.016526282594988895,0.6479395065144122,0.21558822475210326,0.5360806448892687,-0.1936097706516649,0.4242115089982063,-0.4217617425886725,18370,0.01,5261,0.5261,0.6408,point_clouds/cow_111_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
112,399.0,176.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5432592441342627,0.5326071020924144,0.5379331731133385,0.01065214204184839,0.47773397812789486,0.03179048493826955,0.42646189632048276,-0.40048641268208285,0.43530695214887455,-0.43928964090791134,20582,0.01,5472,0.5472,0.7739,point_clouds/cow_112_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
114,605.0,202.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5760713736129446,0.5060813936412784,0.5410763836271115,0.06998997997166623,0.6315583244783765,0.01574804722574122,0.45479080091498825,-0.4102813121339693,0.46124589149734263,-0.4454678605746142,20195,0.01,5443,0.5443,0.7141,point_clouds/cow_114_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
117,399.0,175.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.540098805931,0.5718693239269412,0.5559840649289707,-0.031770517995941217,0.22055437723882915,0.2771328005077069,0.30592698749828817,-0.1449472235120232,0.4306274831673072,-0.44707485876650604,20262,0.01,5682,0.5682,0.7146,point_clouds/cow_117_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
