cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_valley_ratio_from_rear,lower_valley_ratio_from_rear,virtual_chest_ratio_from_rear,topview_dorsal_arc_m,rightview_lower_side_arc_m,leftview_lower_side_arc_m,three_view_simulated_girth_m,rightview_full_visible_half_arc_m,leftview_full_visible_half_arc_m,right_plus_left_full_visible_arc_m,rightview_chest_station_u_m,leftview_chest_station_u_m,rightview_valid_profile_count,leftview_valid_profile_count,rightview_median_profile_coverage,leftview_median_profile_coverage,rightview_ground_fit_inlier_fraction,leftview_ground_fit_inlier_fraction,rightview_source_ply,leftview_source_ply,simulated_girth_formula,side_body_correction,method_version,status
111,243.0,145.0,0.5398585647696338,0.5563848473646227,0.5481217060671282,0.5812535800906232,0.3379083199564612,0.33749610816181025,1.2566580082088947,0.6549233709910005,0.6826243643193622,1.3375477353103626,-0.41724147232986575,0.03394296668068919,11,11,1.0,1.0,0.9308666666666666,0.9896,dataset/111/right-12.46.25.997.ply,dataset/111/left-12.46.26.030.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
112,399.0,176.0,0.5432592441342627,0.5326071020924144,0.5379331731133385,0.6110150648294607,0.33710580121457606,0.34395125869886894,1.2920721247429057,0.6861976687432169,0.6950353780345698,1.3812330467777867,-0.26038344930101676,0.12885812077944525,11,11,0.9838709677419355,1.0,0.9749333333333333,0.9616666666666667,dataset/112/right-13.12.33.533.ply,dataset/112/left-13.12.33.541.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
114,605.0,202.0,0.5760713736129446,0.5060813936412784,0.5410763836271115,0.6488412930686939,0.3251040041632358,0.3666497241146925,1.3405950213466222,0.6727199152026904,0.7705646858875312,1.4432846010902216,-0.28452420581513094,0.12165759204798421,11,11,1.0,0.971830985915493,0.9785333333333334,0.956,dataset/114/right-13.20.39.991.ply,dataset/114/left-13.20.39.966.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
117,399.0,175.0,0.540098805931,0.5718693239269412,0.5559840649289707,0.5980432121543866,0.3199418486690752,0.33812306521315033,1.2561081260366123,0.6650203997602078,0.6771143229383367,1.3421347226985445,-0.1619314146887969,0.2656756882278707,11,11,1.0,1.0,0.9418,0.9783333333333334,dataset/117/right-13.29.21.432.ply,dataset/117/left-13.29.21.430.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
119,495.0,193.0,0.5307129140784617,0.5719333345894102,0.5513231243339359,0.6210650635323792,0.3244642296458571,0.36239761657025404,1.3079269097484905,0.6775838948691673,0.7296847437398615,1.4072686386090287,-0.24042995238644527,0.043946463740333286,11,11,1.0,1.0,0.9624,0.9724666666666667,dataset/119/right-13.34.35.087.ply,dataset/119/left-13.34.35.063.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
120,493.0,188.0,0.5810806336493393,0.5756499735217753,0.5783653035855573,0.616622983344078,0.3209183145966374,0.3288116982949731,1.2663529962356885,0.6432992368718597,0.6745934167480793,1.3178926536199391,-0.25941540876754876,0.1729788040570419,11,11,1.0,1.0,0.9836,0.9412666666666667,dataset/120/right-13.38.22.934.ply,dataset/120/left-13.38.22.938.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
122,486.0,189.0,0.5326104171839242,0.5747973809212648,0.5537038990525944,0.6428619868902167,0.3154253585698657,0.35255678627708775,1.3108441317371702,0.6558280580647019,0.6947966587761798,1.3506247168408816,-0.19853903886646562,0.22837832631738264,11,11,1.0,1.0,0.9496666666666667,0.969,dataset/122/right-13.45.51.636.ply,dataset/122/left-13.45.51.640.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
123,545.0,192.0,0.6060043570940683,0.580106734996031,0.5930555460450497,0.6096081125449173,0.3339945924982195,0.3372005476790212,1.280803252722158,0.6788020073837223,0.6783339114990614,1.3571359188827836,-0.39067467444585113,0.20092702272669483,11,11,1.0,1.0,0.9462,0.9881333333333333,dataset/123/right-13.47.57.166.ply,dataset/123/left-13.47.57.135.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
124,484.0,184.0,0.5076378239204864,0.5801575130519844,0.5438976684862353,0.645375161349227,0.3264623138384563,0.35003627270950965,1.321873747897193,0.7033212628183461,0.7033965716218732,1.4067178344402191,-0.18122966426549292,0.2169891286346859,11,11,1.0,1.0,0.9082,0.9812666666666666,dataset/124/right-15.16.55.439.ply,dataset/124/left-15.16.55.448.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
125,411.0,194.0,0.5196803347744677,0.5984197794372659,0.5590500571058667,0.6356314017729762,0.304158167438117,0.32333235465355487,1.263121923864648,0.6575790556314812,0.6604950475691701,1.3180741032006513,-0.16141215476149195,0.16643666134526502,11,11,0.984375,1.0,0.9494666666666667,0.9813333333333333,dataset/125/right-15.19.57.973.ply,dataset/125/left-15.19.57.999.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
