candidate_group,added_position_count,model,position,outer_fold_selection_count,outer_fold_selection_rate,method_version
height,3,ols,H6,23,0.3770491803278688,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ols,H7,55,0.9016393442622951,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ols,H8,36,0.5901639344262295,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ols,H9,2,0.03278688524590164,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ols,H10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ols,H11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H1,34,0.5573770491803278,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H2,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H3,2,0.03278688524590164,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H4,22,0.36065573770491804,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H5,9,0.14754098360655737,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H6,23,0.3770491803278688,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H7,55,0.9016393442622951,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H8,36,0.5901639344262295,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H9,2,0.03278688524590164,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,ridge,H11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W1,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W2,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W3,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W5,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H1,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H2,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H3,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H4,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H5,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ols,H11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W1,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W2,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W3,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W5,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H1,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H2,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H3,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H4,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H5,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,ridge,H11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,W1,2,0.03278688524590164,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,W2,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
