cow_id,ground_truth_weight_kg,pca_rear70_torso_analysis_eligible,pca_rear70_torso_method_version,pca_rear70_torso_recorded_on,pca_rear70_torso_start_ratio_from_rear,pca_rear70_torso_end_ratio_from_rear,pca_rear70_torso_full_length_m,pca_rear70_torso_start_x_m,pca_rear70_torso_start_y_m,pca_rear70_torso_end_x_m,pca_rear70_torso_end_y_m,pca_rear70_torso_length_m,pca_rear70_torso_projection_grid_cell_size_m,pca_rear70_torso_projection_grid_cell_count,pca_rear70_torso_projected_area_m2,pca_rear70_torso_projection_mean_height_m,pca_rear70_torso_projection_median_height_m,pca_rear70_torso_projected_volume_m3,pca_rear70_torso_projected_volume_l,pca_rear70_torso_height_definition,pca_rear70_torso_cell_height_aggregation,pca_rear70_torso_region_definition,pca_rear70_torso_status,source_top_ply,extracted_top_ply
126,512.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.90826,-0.834608,0.485235,0.454395,0.134828,1.335782,0.01,7392,0.7392,1.181141,1.207739,0.8731,873.1,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/126/top-15.25.26.513.ply,point_clouds/cow_126_top_cattle.ply
127,551.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.879092,-0.725076,0.162861,0.57139,-0.059307,1.315365,0.01,6843,0.6843,1.142998,1.166205,0.782154,782.154,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/127/top-15.31.00.654.ply,point_clouds/cow_127_top_cattle.ply
128,479.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.926449,-0.781033,0.23617,0.552006,0.032462,1.348514,0.01,6947,0.6947,1.201382,1.219488,0.8346,834.6,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/128/top-15.34.24.764.ply,point_clouds/cow_128_top_cattle.ply
129,514.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.866052,-0.574997,0.093367,0.711632,-0.132107,1.306237,0.01,7298,0.7298,1.150531,1.169921,0.839657,839.657,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/129/top-15.41.02.256.ply,point_clouds/cow_129_top_cattle.ply
130,548.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.933796,-0.689919,-0.034853,0.658238,0.087049,1.353657,0.01,7091,0.7091,1.160722,1.179065,0.823068,823.068,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/130/top-15.43.36.003.ply,point_clouds/cow_130_top_cattle.ply
132,418.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.885753,-0.509587,0.176969,0.809733,0.133768,1.320027,0.01,6974,0.6974,1.196241,1.220406,0.834258,834.258,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/132/top-15.54.38.811.ply,point_clouds/cow_132_top_cattle.ply
133,531.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.934404,-0.56529,0.016615,0.787961,-0.030856,1.354083,0.01,7360,0.736,1.073431,1.097568,0.790045,790.045,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/133/top-15.56.56.862.ply,point_clouds/cow_133_top_cattle.ply
134,512.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.783749,-0.350787,-0.144726,0.89783,-0.140275,1.248625,0.01,6083,0.6083,1.147873,1.164753,0.698251,698.251,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/134/top-15.59.12.936.ply,point_clouds/cow_134_top_cattle.ply
135,413.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.971913,-0.638666,0.013831,0.73793,-0.087752,1.380339,0.01,7667,0.7667,1.136647,1.162471,0.871467,871.467,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/135/top-16.01.20.638.ply,point_clouds/cow_135_top_cattle.ply
136,563.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.859895,-0.5048,0.247827,0.796846,0.220822,1.301927,0.01,6971,0.6971,1.156634,1.182003,0.80629,806.29,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/136/top-16.04.17.045.ply,point_clouds/cow_136_top_cattle.ply
