cow_id,source_top_ply,extracted_top_ply,rear_axis_x_m,rear_axis_y_m,head_axis_x_m,head_axis_y_m,pca_full_length_m,marker_ratio_from_rear,marker_distance_from_rear_m,marker_distance_to_head_m,marker_x_m,marker_y_m,display_orientation,method_version,preview_group_number,preview_group_file
120,dataset/120/top-13.38.22.918.ply,point_clouds/cow_120_top_cattle.ply,-0.465733,-0.181385,1.372273,-0.293081,1.8413967667105318,0.6,1.104838060026319,0.7365587066842127,0.6370705999999999,-0.24840259999999997,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,4,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_04_cows_110_124.png
122,dataset/122/top-13.45.51.673.ply,point_clouds/cow_122_top_cattle.ply,-0.633937,-0.076895,1.255951,0.079164,1.8963204012046595,0.6,1.1377922407227956,0.7585281604818639,0.4999958,0.016740400000000003,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,4,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_04_cows_110_124.png
123,dataset/123/top-13.47.57.125.ply,point_clouds/cow_123_top_cattle.ply,-0.637482,0.224475,1.285311,0.05015,1.930679187869906,0.6,1.1584075127219435,0.7722716751479625,0.5161937999999998,0.11988000000000001,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,4,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_04_cows_110_124.png
124,dataset/124/top-15.16.55.421.ply,point_clouds/cow_124_top_cattle.ply,-0.696278,0.10753,1.233042,0.175309,1.9305102059406472,0.6,1.1583061235643883,0.7722040823762589,0.461314,0.14819739999999998,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,4,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_04_cows_110_124.png
125,dataset/125/top-15.19.57.964.ply,point_clouds/cow_125_top_cattle.ply,-0.591942,0.064023,1.312832,0.033581,1.9050172457067152,0.6,1.143010347424029,0.7620068982826861,0.5509223999999999,0.0457578,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,5,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_05_cows_125_135.png
126,dataset/126/top-15.25.26.513.ply,point_clouds/cow_126_top_cattle.ply,-0.834608,0.485235,1.006825,-0.015347,1.9082604204387303,0.6,1.1449562522632382,0.7633041681754922,0.27025180000000004,0.1848858,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,5,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_05_cows_125_135.png
127,dataset/127/top-15.31.00.654.ply,point_clouds/cow_127_top_cattle.ply,-0.725076,0.162861,1.127019,-0.154522,1.8790922962201724,0.6,1.1274553777321035,0.751636918488069,0.3861810000000001,-0.027568800000000004,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,5,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_05_cows_125_135.png
128,dataset/128/top-15.34.24.764.ply,point_clouds/cow_128_top_cattle.ply,-0.781033,0.23617,1.123309,-0.054841,1.926449027377833,0.6,1.1558694164266998,0.7705796109511333,0.3615722,0.06156339999999996,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,5,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_05_cows_125_135.png
129,dataset/129/top-15.41.02.256.ply,point_clouds/cow_129_top_cattle.ply,-0.574997,0.093367,1.263045,-0.228739,1.8660521613824195,0.6,1.1196312968294517,0.7464208645529679,0.5278282000000001,-0.0998966,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,5,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_05_cows_125_135.png
130,dataset/130/top-15.43.36.003.ply,point_clouds/cow_130_top_cattle.ply,-0.689919,-0.034853,1.23602,0.139293,1.9337962304847425,0.6,1.1602777382908454,0.773518492193897,0.46564439999999996,0.06963459999999999,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,5,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_05_cows_125_135.png
132,dataset/132/top-15.54.38.811.ply,point_clouds/cow_132_top_cattle.ply,-0.509587,0.176969,1.375156,0.115254,1.885753143249137,0.6,1.1314518859494822,0.7543012572996548,0.6212587999999999,0.13993999999999998,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,5,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_05_cows_125_135.png
133,dataset/133/top-15.56.56.862.ply,point_clouds/cow_133_top_cattle.ply,-0.56529,0.016615,1.367925,-0.051201,1.9344041061993744,0.6,1.1606424637196247,0.7737616424797498,0.594639,-0.024074599999999998,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,5,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_05_cows_125_135.png
134,dataset/134/top-15.59.12.936.ply,point_clouds/cow_134_top_cattle.ply,-0.350787,-0.144726,1.432951,-0.138367,1.783749334835195,0.6,1.0702496009011169,0.7134997339340781,0.7194558,-0.1409106,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,5,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_05_cows_125_135.png
135,dataset/135/top-16.01.20.638.ply,point_clouds/cow_135_top_cattle.ply,-0.638666,0.013831,1.3279,-0.131287,1.9719130473426054,0.6,1.1831478284055632,0.7887652189370422,0.5412736,-0.0732398,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,5,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_05_cows_125_135.png
136,dataset/136/top-16.04.17.045.ply,point_clouds/cow_136_top_cattle.ply,-0.5048,0.247827,1.354695,0.209249,1.8598951360517613,0.6,1.1159370816310568,0.7439580544207045,0.6108969999999999,0.2246802,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,6,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_06_cows_136_151.png
137,dataset/137/top-16.06.45.972.ply,point_clouds/cow_137_top_cattle.ply,-0.400321,0.123195,1.421143,-0.092447,1.8341844442312774,0.6,1.1005106665387663,0.733673777692511,0.6925573999999999,-0.006190199999999979,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,6,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_06_cows_136_151.png
138,dataset/138/top-16.13.36.500.ply,point_clouds/cow_138_top_cattle.ply,-0.759211,0.140486,1.12487,-0.133535,1.9039035487655356,0.6,1.1423421292593212,0.7615614195062143,0.37123760000000006,-0.023926599999999965,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,6,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_06_cows_136_151.png
139,dataset/139/top-16.15.54.936.ply,point_clouds/cow_139_top_cattle.ply,-0.473889,0.023933,1.320324,-0.135157,1.801252319212664,0.6,1.0807513915275984,0.7205009276850656,0.6026388,-0.07152100000000002,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,6,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_06_cows_136_151.png
140,dataset/140/top-16.18.35.453.ply,point_clouds/cow_140_top_cattle.ply,-0.874153,0.269942,1.107827,0.165468,1.9847316032844338,0.6,1.1908389619706603,0.7938926413137736,0.31503499999999995,0.20725760000000001,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,6,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_06_cows_136_151.png
141,dataset/141/top-16.21.59.506.ply,point_clouds/cow_141_top_cattle.ply,-0.502886,-0.175024,1.4117,-0.228612,1.9153357995766693,0.6,1.1492014797460015,0.7661343198306678,0.6458655999999997,-0.2071768,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,6,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_06_cows_136_151.png
142,dataset/142/top-16.24.58.675.ply,point_clouds/cow_142_top_cattle.ply,-0.380802,0.101203,1.388818,0.029235,1.7710828149536093,0.6,1.0626496889721655,0.7084331259814438,0.68097,0.0580222,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,6,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_06_cows_136_151.png
144,dataset/144/top-16.30.34.437.ply,point_clouds/cow_144_top_cattle.ply,-0.783815,-0.013733,1.138151,-0.140487,1.9261411894438059,0.6,1.1556847136662836,0.7704564757775224,0.36936460000000004,-0.0897854,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,6,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_06_cows_136_151.png
149,dataset/149/top-16.48.55.702.ply,point_clouds/cow_149_top_cattle.ply,-0.398172,0.055996,1.363238,0.128307,1.762893663503559,0.6,1.0577361981021354,0.7051574654014237,0.658674,0.09938260000000002,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,6,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_06_cows_136_151.png
151,dataset/151/top-16.53.35.598.ply,point_clouds/cow_151_top_cattle.ply,-0.49289,-0.042534,1.407079,-0.040705,1.8999698803407385,0.6,1.139981928204443,0.7599879521362954,0.6470913999999999,-0.0414366,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,6,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_06_cows_136_151.png
154,dataset/154/top-17.02.57.428.ply,point_clouds/cow_154_top_cattle.ply,-0.621678,0.07674,1.311353,-0.07264,1.938794272572776,0.6,1.1632765635436655,0.7755177090291104,0.5381406,-0.012887999999999997,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,7,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_07_cows_154_154.png
